Natural,ACE,Warning, Updated ACE with no warnings
The book is on the table.,There is a book. The book is on the table.,Yes,There is a book. The book is on a table.
The cat chased the mouse.,There is a cat. There is a mouse. The cat chases the mouse.,No,There is a cat. There is a mouse. The cat chases the mouse.
The train arrived late.,There is a train. The train arrives late.,No,There is a train. The train arrives late.
The baby is sleeping soundly.,There is a baby. The baby sleeps soundly.,No,There is a baby. The baby sleeps soundly.
The car is blue.,There is a car. The car is blue.,No,There is a car. The car is blue.
The bird flew south for the winter.,There is a bird. The bird flies south. The bird flies for the winter.,Yes,There is a bird. The bird flies south. The bird flies for a winter.
The road leads to the city.,There is a road. The road leads to the city.,Yes,There is a road. The road leads to a city.
The boy kicked the ball.,There is a boy. There is a ball. The boy kicks the ball.,No,There is a boy. There is a ball. The boy kicks the ball.
The phone rang.,There is a phone. The phone rings.,No,There is a phone. The phone rings.
The old man walked slowly.,There is a man. The man is old. The man walks slowly.,No,There is a man. The man is old. The man walks slowly.
The school is near the park.,There is a school. The school is near the park.,Yes,There is a school. A school is near a park.
The picture hangs on the wall.,There is a picture. The picture hangs on the wall.,Yes,There is a picture. The picture hangs on a wall.
The river flows into the sea.,There is a river. The river flows into the sea.,Yes,There is a river. The river flows into a sea.
The bag is heavy.,There is a bag. The bag is heavy.,No,There is a bag. The bag is heavy.
The bird sang a beautiful song.,There is a bird. The bird sings a song. The song is beautiful.,No,There is a bird. The bird sings a song. The song is beautiful.
The window is open.,There is a window. The window is open.,No,There is a window. The window is open.
The burglar broke into the house through the window.,The burglar breaks into the house through the window.,Yes,A burglar breaks into a house through a window.
The victim identified the perpetrator in the lineup.,The victim identifies the perpetrator in the lineup.,Yes,A victim identifies a perpetrator in a lineup.
The police searched the house with a warrant.,The police searches the house with a warrant.,Yes,A police searches a house with a warrant.
The pickpocket stole the wallet from the tourist.,The pickpocket steals the wallet from the tourist.,Yes,A pickpocket steals a wallet from a tourist.
The assassin planned the murder carefully.,The assassin plans the murder carefully.,Yes,A assassin plans a murder carefully.
The appellate court reviewed the lower court's decision.,The appellate court reviews the lower court's decision.,Yes,A appellate court reviews a lower court's decision.
The grand jury issued an indictment.,The grand jury issues an indictment.,Yes,A grand jury issues an indictment.
The public defender represented the indigent client.,The public defender represents the indigent client.,Yes,A public defender represents a indigent client.
The drunk driver caused a fatal accident.,The drunk driver causes a fatal accident.,Yes,A drunk driver causes a fatal accident.
The teacher explained the lesson to the students.,The teacher explains the lesson to the students.,Yes,A teacher explains a lesson to some students.
The chef prepared a delicious meal.,The chef prepares a delicious meal.,Yes,A chef prepares a delicious meal.
The pilot flew the airplane safely.,The pilot flies the airplane safely.,Yes,A pilot flies a airplane safely.
The librarian organized the books alphabetically.,The librarian organizes the books alphabetically.,Yes,A librarian organizes some books alphabetically.
The musician played the violin beautifully.,The musician plays the violin beautifully.,Yes,A musician plays a violin beautifully.
The scientist conducted the experiment.,The scientist conducts the experiment.,Yes,A scientist conducts a experiment.
The artist painted a portrait.,The artist paints a portrait.,Yes,A artist paints a portrait.
The carpenter built a wooden table.,The carpenter builds a wooden table.,Yes,A carpenter builds a wooden table.
The photographer captured the sunset.,The photographer captures the sunset.,Yes,A photographer captures a sunset.
The dentist cleaned the patient's teeth.,The dentist cleans the patient's teeth.,Yes,A dentist cleans a patient's teeth.
The translator converted the text into Spanish.,The translator converts the text into Spanish.,Yes,A translator converts a text into Spanish.
The secretary scheduled the meeting.,The secretary schedules the meeting.,Yes,A secretary schedules a meeting.
The cashier processed the customer's payment.,The cashier processes the customer's payment.,Yes,A cashier processes a customer's payment.
